Quantity,UnitPrice,Discount,Tax,ShippingCost,TotalAmount
5,564.2,0.1,304.67,8.38,2851.95
2,455.11,0.0,72.82,11.49,994.53
5,529.81,0.25,158.94,6.5,2152.23
4,197.03,0.25,70.93,3.98,666.0
5,125.59,0.0,31.4,4.61,663.96
3,189.63,0.15,24.18,4.57,512.31
2,351.94,0.0,56.31,10.1,770.29
3,441.63,0.05,151.04,13.29,1422.98
5,148.45,0.2,0.0,4.96,598.76
2,512.82,0.15,43.59,11.12,926.5
1,531.55,0.0,0.0,11.53,543.08
2,71.0,0.05,16.19,0.97,152.06
5,49.88,0.25,9.35,7.92,204.32
3,467.19,0.3,117.73,8.78,1107.61
3,554.38,0.05,126.4,6.69,1713.07
3,69.86,0.0,16.77,3.05,229.4
5,390.08,0.1,140.43,3.92,1899.71
5,218.2,0.0,87.28,14.66,1192.94
4,54.69,0.0,10.94,13.86,243.56
2,139.44,0.05,21.19,14.23,300.36
3,99.94,0.1,21.59,8.23,299.66
5,85.92,0.0,34.37,9.87,473.84
5,237.5,0.0,95.0,7.08,1289.58
4,292.83,0.05,55.64,12.9,1181.29
1,399.56,0.15,27.17,9.1,375.9
5,117.78,0.05,44.76,9.41,613.62
2,251.08,0.2,48.21,0.88,450.82
4,281.45,0.0,56.29,8.81,1190.9
3,210.81,0.0,31.62,12.89,676.94
1,216.44,0.1,15.58,2.24,212.62
2,525.79,0.0,52.58,1.29,1105.45
3,319.0,0.0,47.85,5.18,1010.03
3,509.8,0.2,97.88,14.31,1335.71
2,539.97,0.2,69.12,5.83,938.9
1,286.06,0.05,13.59,3.0,288.35
2,285.78,0.1,25.72,3.92,544.04
3,311.58,0.05,44.4,14.25,946.65
4,490.75,0.1,141.34,14.82,1922.86
3,237.11,0.1,0.0,7.23,647.43
1,374.51,0.0,18.73,10.11,403.35
2,592.51,0.0,94.8,5.6,1285.42
3,84.7,0.05,19.31,9.61,270.32
2,144.03,0.0,14.4,3.35,305.81
3,361.75,0.0,54.26,10.8,1150.31
4,542.87,0.05,103.15,7.43,2173.49
1,556.09,0.0,0.0,11.89,567.98
5,445.83,0.25,83.59,10.34,1765.79
3,245.3,0.1,52.98,6.98,722.27
5,478.9,0.2,229.87,3.89,2149.36
4,344.39,0.05,104.69,7.38,1420.75
5,110.43,0.0,27.61,11.27,591.03
1,595.56,0.15,0.0,0.44,506.67
3,308.46,0.0,166.57,5.83,1097.78
4,8.44,0.0,1.69,7.8,43.25
1,448.02,0.1,20.16,6.51,429.89
1,557.2,0.0,44.58,10.79,612.57
3,413.89,0.05,94.37,11.04,1285.0
5,222.96,0.05,190.63,6.2,1255.89
1,273.13,0.2,10.93,6.37,235.8
2,513.03,0.0,51.3,9.38,1086.74
3,134.52,0.1,18.16,14.03,395.39
5,328.25,0.1,177.26,6.64,1661.02
4,162.32,0.0,32.46,5.49,687.23
3,156.41,0.05,53.49,9.23,508.49
3,444.29,0.05,101.3,12.88,1380.41
3,6.21,0.1,0.84,7.4,25.01
4,72.01,0.1,31.11,4.24,294.59
3,100.68,0.0,15.1,10.08,327.22
4,356.95,0.2,57.11,0.91,1200.26
2,571.66,0.25,42.87,13.43,913.79
2,261.14,0.3,0.0,8.78,374.38
3,530.93,0.05,121.05,3.77,1637.97
5,591.14,0.0,354.68,1.6,3311.98
4,470.9,0.1,305.14,11.93,2012.31
5,435.15,0.1,156.65,12.02,2126.84
3,89.69,0.0,32.29,12.4,313.76
3,444.03,0.1,143.87,4.68,1347.43
1,304.83,0.0,0.0,8.06,312.89
1,458.28,0.05,21.77,8.87,466.01
2,301.32,0.25,81.36,9.64,542.98
4,110.48,0.05,50.38,0.96,471.16
5,145.58,0.15,30.94,13.26,662.92
3,471.09,0.1,152.63,14.07,1438.64
5,369.25,0.0,147.7,0.88,1994.83
5,406.32,0.0,365.69,13.09,2410.38
3,536.62,0.0,80.49,3.63,1693.98
1,237.99,0.0,28.56,6.0,272.55
2,135.0,0.0,32.4,7.45,309.85
2,174.5,0.0,17.45,7.16,373.61
1,54.62,0.0,9.83,8.66,73.11
1,501.33,0.25,18.8,4.76,399.56
1,107.6,0.0,0.0,3.45,111.05
5,70.5,0.05,26.79,3.2,364.86
2,597.77,0.0,215.2,0.66,1411.4
3,487.08,0.0,73.06,11.71,1546.01
3,156.69,0.25,42.31,10.16,405.02
3,375.93,0.0,90.22,8.2,1226.21
2,81.45,0.2,10.43,11.48,152.23
4,422.47,0.0,304.18,11.87,2005.93
4,472.54,0.05,89.78,7.16,1892.59
3,477.41,0.2,206.24,14.61,1366.63
3,545.3,0.3,91.61,10.78,1247.52
3,520.5,0.1,70.27,14.74,1490.36
4,361.46,0.1,156.15,11.69,1469.1
3,284.83,0.25,32.04,14.25,687.16
5,372.86,0.0,223.72,7.55,2095.57
4,162.63,0.3,0.0,6.94,462.3
1,456.79,0.0,22.84,5.32,484.95
5,405.41,0.05,0.0,4.04,1929.74
4,472.11,0.05,89.7,6.34,1890.06
4,35.65,0.0,7.13,14.81,164.54
2,160.52,0.25,12.04,9.43,262.25
1,144.43,0.1,6.5,11.38,147.87
1,86.81,0.15,3.69,1.84,79.32
2,12.41,0.05,1.18,6.86,31.62
1,255.57,0.15,39.1,5.58,261.91
3,90.13,0.0,21.63,3.59,295.61
2,38.76,0.2,3.1,7.64,72.76
5,371.2,0.05,0.0,1.77,1764.97
5,493.27,0.2,98.65,1.81,2073.54
1,489.91,0.0,24.5,7.19,521.6
3,377.41,0.05,53.78,6.03,1135.43
2,541.49,0.1,77.97,13.95,1066.6
2,48.65,0.1,4.38,12.25,104.2
3,150.73,0.0,81.39,12.73,546.31
1,178.95,0.0,8.95,10.42,198.32
5,49.04,0.1,39.72,6.5,266.9
3,49.23,0.0,17.72,1.21,166.62
5,61.27,0.1,13.79,10.09,299.6
1,384.8,0.0,30.78,11.07,426.65
3,381.71,0.0,57.26,9.29,1211.68
5,29.5,0.15,6.27,4.12,135.77
1,213.12,0.0,17.05,12.19,242.36
4,359.39,0.0,172.51,4.14,1614.21
2,550.05,0.0,132.01,7.82,1239.93
1,313.91,0.0,56.5,1.77,372.18
2,181.96,0.0,18.2,5.65,387.77
1,8.24,0.3,0.46,3.63,9.86
1,590.34,0.0,70.84,13.36,674.54
3,543.3,0.2,65.2,6.11,1375.23
3,434.9,0.15,133.08,3.69,1245.76
5,248.18,0.1,0.0,0.49,1117.3
3,544.23,0.0,81.63,0.74,1715.06
2,308.9,0.05,46.95,4.37,638.23
1,555.23,0.3,0.0,13.26,401.92
4,240.38,0.2,92.31,1.23,862.76
1,562.28,0.05,96.15,10.21,640.53
5,310.52,0.3,86.95,10.2,1183.97
4,311.82,0.2,49.89,0.91,1048.62
2,553.44,0.0,55.34,14.56,1176.78
1,369.09,0.05,28.05,9.29,387.98
4,534.07,0.05,243.54,11.55,2284.56
1,418.99,0.05,47.76,12.84,458.64
4,546.83,0.1,354.35,5.53,2328.47
2,284.83,0.1,25.63,12.59,550.91
3,439.67,0.3,46.17,2.82,972.3
4,48.41,0.0,15.49,9.0,218.13
4,147.0,0.05,27.93,7.9,594.43
4,228.89,0.05,43.49,0.08,913.35
2,439.73,0.0,105.54,4.32,989.32
3,574.99,0.15,73.31,1.92,1541.45
3,576.89,0.0,138.45,7.71,1876.83
5,248.59,0.05,94.46,13.26,1288.52
4,121.62,0.0,38.92,7.91,533.31
3,530.27,0.05,120.9,12.43,1644.6
1,143.92,0.25,12.95,13.8,134.69
3,278.86,0.0,100.39,6.34,943.31
5,577.33,0.05,329.08,10.3,3081.7
2,112.11,0.0,0.0,4.6,228.82
3,141.96,0.0,0.0,11.06,436.94
3,59.34,0.05,20.29,10.72,200.13
2,150.16,0.0,0.0,9.32,309.64
3,76.77,0.1,24.87,2.93,235.08
2,568.7,0.05,86.44,9.28,1176.25
3,526.32,0.0,78.95,10.63,1668.54
2,83.55,0.0,13.37,1.98,182.45
2,330.78,0.0,52.92,12.46,726.94
2,138.43,0.0,33.22,14.97,325.05
1,399.94,0.0,47.99,9.77,457.7
4,366.23,0.0,263.69,3.27,1731.88
4,356.05,0.15,96.85,9.13,1316.55
4,229.68,0.05,157.1,1.72,1031.6
5,346.52,0.05,0.0,2.26,1648.23
3,251.58,0.0,60.38,10.5,825.62
4,468.24,0.2,74.92,4.43,1577.72
4,422.89,0.05,80.35,9.68,1697.01
5,177.56,0.0,106.54,7.67,1002.01
5,281.83,0.0,253.65,10.55,1673.35
2,323.02,0.2,41.35,7.68,565.86
4,534.24,0.05,162.41,10.69,2203.21
5,527.06,0.2,105.41,6.64,2220.29
3,101.03,0.1,13.64,4.4,290.82
3,437.37,0.15,89.22,8.34,1212.85
1,233.08,0.1,10.49,1.88,222.14
5,374.69,0.0,149.88,2.19,2025.52
2,569.07,0.0,91.05,4.42,1233.61
5,343.97,0.05,294.09,13.55,1941.5
5,18.5,0.1,14.98,8.27,106.5
4,328.27,0.2,52.52,12.15,1115.13
2,71.03,0.05,24.29,10.28,169.53
1,67.43,0.0,8.09,7.55,83.07
2,312.8,0.05,71.32,3.7,669.34
2,199.7,0.2,57.51,0.57,377.6
3,275.82,0.2,33.1,3.42,698.49
1,365.52,0.1,0.0,6.8,335.77
1,352.03,0.25,31.68,6.96,302.66
1,16.96,0.2,1.63,4.1,19.3
2,410.74,0.3,69.0,12.28,656.32
4,525.76,0.0,168.24,12.69,2283.97
5,375.73,0.1,84.54,8.53,1783.86
2,525.95,0.0,84.15,2.11,1138.16
1,401.47,0.15,40.95,6.39,388.59
4,297.64,0.05,0.0,2.09,1133.12
1,50.84,0.0,4.07,10.2,65.11
5,55.82,0.3,23.44,0.99,219.8
1,159.32,0.0,12.75,11.49,183.56
1,597.67,0.1,64.55,5.07,607.52
2,368.69,0.05,56.04,1.96,758.51
4,599.69,0.1,0.0,8.65,2167.53
2,452.45,0.05,68.77,6.87,935.3
1,503.8,0.15,51.39,3.02,482.64
2,375.74,0.15,76.65,10.86,726.27
2,525.15,0.1,47.26,5.97,998.5
5,360.58,0.1,129.81,12.47,1764.89
3,424.4,0.15,54.11,3.26,1139.59
1,475.56,0.1,0.0,3.07,431.07
4,142.31,0.0,0.0,10.35,579.59
5,275.64,0.3,77.18,7.79,1049.71
3,205.62,0.1,66.62,1.08,622.87
5,207.84,0.2,149.64,4.14,985.14
2,471.57,0.0,75.45,8.83,1027.42
3,240.08,0.0,129.64,0.88,850.76
1,599.9,0.1,0.0,8.15,548.06
1,593.16,0.15,25.21,5.65,535.05
3,276.86,0.1,89.7,5.54,842.76
1,153.09,0.0,12.25,3.88,169.22
5,463.01,0.25,138.9,3.18,1878.37
3,265.19,0.25,0.0,9.25,605.93
1,558.82,0.15,57.0,6.39,538.39
4,135.29,0.1,38.96,10.91,536.91
3,573.03,0.1,123.77,2.36,1673.31
4,517.89,0.15,88.04,7.31,1856.18
2,405.81,0.15,34.49,5.46,729.83
1,276.15,0.25,16.57,6.69,230.37
3,283.76,0.0,153.23,6.69,1011.2
5,572.62,0.0,229.05,6.63,3098.78
4,461.32,0.0,147.62,13.11,2006.01
4,397.16,0.1,0.0,3.82,1433.6
4,556.67,0.25,83.5,12.74,1766.25
1,34.55,0.15,2.35,7.65,39.37
1,176.64,0.0,21.2,13.11,210.95
5,388.66,0.05,0.0,14.76,1860.9
2,165.04,0.25,0.0,4.93,252.49
1,441.16,0.2,17.65,4.14,374.72
1,19.2,0.15,1.31,2.2,19.83
3,390.43,0.0,93.7,4.44,1269.43
5,53.56,0.15,0.0,7.7,235.33
4,393.47,0.15,66.89,14.11,1418.8
1,535.98,0.1,38.59,0.2,521.17
3,476.41,0.2,0.0,3.57,1146.95
1,61.44,0.05,2.92,9.45,70.74
5,300.27,0.0,75.07,5.79,1582.21
1,369.41,0.05,17.55,10.3,378.79
5,426.38,0.0,106.6,7.97,2246.47
5,61.48,0.0,55.33,2.64,365.37
5,399.82,0.25,269.88,7.13,1776.34
1,73.3,0.2,4.69,10.81,74.14
1,175.96,0.1,12.67,11.15,182.18
3,300.28,0.1,64.86,4.01,879.63
5,523.13,0.0,130.78,9.25,2755.68
5,157.48,0.15,80.31,11.8,761.4
1,275.72,0.05,20.95,11.93,294.81
2,123.36,0.0,19.74,7.02,273.48
2,86.12,0.0,13.78,1.43,187.45
2,250.07,0.0,25.01,1.33,526.48
3,479.59,0.05,0.0,5.42,1372.25
2,181.42,0.0,18.14,2.7,383.68
4,248.84,0.25,0.0,3.03,749.55
5,303.48,0.0,0.0,4.38,1521.78
5,513.04,0.0,128.26,12.38,2705.84
1,290.2,0.0,34.82,6.81,331.83
1,241.34,0.05,27.51,2.97,259.75
5,212.36,0.05,50.44,7.7,1066.85
4,116.66,0.05,22.17,6.22,471.7
1,363.81,0.3,20.37,11.31,286.35
1,43.9,0.0,2.19,7.82,53.91
4,525.9,0.0,105.18,5.86,2214.64
2,374.8,0.05,85.45,6.66,804.23
3,139.2,0.0,33.41,1.56,452.57
4,178.52,0.1,115.68,12.28,770.63
2,192.62,0.15,26.2,2.97,356.62
2,502.56,0.05,114.58,12.09,1081.53
3,53.77,0.0,12.9,11.0,185.21
1,272.1,0.05,20.68,1.25,280.42
3,484.87,0.0,116.37,2.27,1573.25
3,26.27,0.0,6.3,4.71,89.82
2,246.0,0.25,18.45,6.82,394.27
4,587.51,0.15,159.8,7.37,2164.7
3,570.3,0.25,153.98,10.15,1447.3
2,82.88,0.0,8.29,3.41,177.46
2,79.82,0.25,9.58,9.72,139.03
3,445.62,0.15,56.82,10.26,1203.41
3,6.08,0.0,0.91,6.93,26.08
5,363.69,0.0,90.92,14.63,1924.0
5,18.05,0.0,7.22,4.89,102.36
2,334.73,0.2,96.4,11.55,643.52
2,535.14,0.15,109.17,6.82,1025.73
3,271.73,0.0,40.76,14.35,870.3
4,442.37,0.05,84.05,14.64,1779.7
2,254.55,0.2,32.58,1.07,440.93
5,476.76,0.05,0.0,9.48,2274.09
3,209.46,0.0,31.42,8.16,667.96
4,216.91,0.0,43.38,14.92,925.94
5,264.05,0.0,105.62,9.45,1435.32
4,204.44,0.1,88.32,1.62,825.92
5,50.84,0.2,10.17,14.87,228.4
1,356.91,0.0,42.83,8.33,408.07
3,521.75,0.2,225.4,8.27,1485.87
1,520.3,0.1,56.19,0.7,525.16
4,43.58,0.1,28.24,10.0,195.13
2,433.44,0.25,117.03,11.72,778.91
4,565.29,0.0,271.34,10.26,2542.76
4,21.88,0.0,7.0,1.05,95.57
2,284.19,0.0,45.47,1.96,615.81
3,224.11,0.0,53.79,2.63,728.75
4,145.43,0.15,24.72,12.61,531.79
5,269.83,0.1,218.56,14.95,1447.74
1,504.5,0.05,57.51,3.43,540.21
5,405.24,0.2,194.52,11.68,1827.16
1,596.25,0.3,20.87,14.7,452.94
5,63.43,0.0,0.0,7.12,324.27
2,419.85,0.2,53.74,4.2,729.7
2,96.54,0.15,8.21,6.03,178.36
1,375.39,0.05,28.53,2.11,387.26
5,17.43,0.15,3.7,14.92,92.7
4,217.3,0.3,48.68,4.65,661.77
5,433.22,0.0,259.93,14.3,2440.33
2,349.79,0.2,100.74,3.29,663.69
2,432.44,0.15,36.76,2.82,774.73
4,501.74,0.0,0.0,2.03,2008.99
2,542.73,0.2,69.47,2.53,940.37
4,210.86,0.1,60.73,0.72,820.55
1,97.16,0.0,4.86,4.25,106.27
3,306.98,0.15,140.9,10.53,934.23
3,437.21,0.15,89.19,6.88,1210.96
4,420.42,0.15,171.53,0.89,1601.85
1,243.41,0.1,17.53,0.77,237.37
1,301.29,0.05,14.31,2.86,303.4
3,593.39,0.0,142.41,6.2,1928.78
1,353.28,0.0,42.39,9.22,404.89
1,89.99,0.25,5.4,6.55,79.44
5,475.67,0.0,0.0,6.14,2384.49
1,54.69,0.1,3.94,12.21,65.37
1,435.22,0.05,20.67,3.46,437.59
4,533.94,0.0,106.79,8.79,2251.34
2,483.35,0.0,116.0,12.81,1095.51
4,490.85,0.0,235.61,10.64,2209.65
3,51.32,0.25,9.24,1.25,125.96
5,520.25,0.1,421.4,8.13,2770.66
5,589.23,0.05,223.91,11.4,3034.15
5,281.6,0.1,63.36,3.25,1333.81
4,554.36,0.3,0.0,3.43,1555.64
2,267.66,0.05,61.03,14.34,583.92
2,336.53,0.15,45.77,6.63,624.5
2,310.97,0.1,44.78,4.61,609.14
1,83.85,0.2,8.05,7.07,82.2
1,455.46,0.3,15.94,7.97,342.73
5,184.38,0.25,82.97,8.78,783.18
5,337.64,0.0,303.88,13.84,2005.92
4,236.64,0.15,0.0,9.3,813.88
2,443.64,0.15,60.34,8.24,822.77
3,597.87,0.25,242.14,2.32,1589.67
2,120.75,0.1,17.39,8.43,243.17
3,317.75,0.15,40.51,4.9,855.67
2,191.76,0.2,24.55,5.73,337.1
2,5.87,0.0,0.94,3.22,15.9
3,185.27,0.2,35.57,12.08,492.3
2,549.63,0.0,87.94,9.87,1197.07
5,78.01,0.0,31.2,1.19,422.44
2,273.21,0.05,41.53,9.0,569.63
2,223.12,0.0,35.7,11.79,493.73
5,13.79,0.0,0.0,5.67,74.62
1,350.48,0.05,0.0,0.77,333.73
3,377.58,0.1,122.34,0.44,1142.25
2,308.21,0.0,30.82,7.37,654.61
3,323.01,0.05,73.65,11.37,1005.6
3,346.47,0.05,49.37,8.44,1045.25
2,381.95,0.0,61.11,7.07,832.08
3,350.01,0.15,44.63,5.02,942.18
5,487.06,0.0,121.77,5.62,2562.69
1,526.94,0.15,22.39,0.68,470.97
5,7.88,0.05,6.74,1.9,46.07
1,197.09,0.0,15.77,7.62,220.48
4,475.7,0.1,137.0,0.4,1849.92
3,18.8,0.0,2.82,2.46,61.68
4,386.18,0.1,111.22,14.11,1515.58
5,164.98,0.15,56.09,6.16,763.42
4,416.07,0.05,126.49,2.03,1709.59
5,266.19,0.2,191.66,11.84,1268.26
4,213.27,0.05,145.88,1.28,957.59
5,454.03,0.05,388.2,3.36,2548.2
5,41.9,0.05,35.82,13.43,248.27
1,152.22,0.15,10.35,13.85,153.59
5,408.34,0.05,0.0,14.2,1953.81
5,328.22,0.15,251.09,8.89,1654.92
5,594.89,0.1,133.85,11.85,2822.7
3,311.35,0.0,112.09,2.12,1048.26
1,343.86,0.0,0.0,1.27,345.13
2,53.52,0.0,5.35,6.02,118.41
4,264.11,0.05,80.29,10.88,1094.79
1,560.95,0.0,44.88,7.93,613.76
1,236.45,0.1,17.02,6.35,236.18
4,481.22,0.05,146.29,5.48,1980.41
5,546.95,0.05,0.0,8.38,2606.39
2,120.79,0.1,26.09,3.95,247.46
1,125.98,0.0,10.08,3.16,139.22
5,307.66,0.15,156.91,1.04,1465.5
1,404.79,0.0,20.24,12.05,437.08
5,447.89,0.0,179.16,5.04,2423.65
1,123.31,0.15,18.87,8.31,131.99
